CRIMETYPE,DATETIME,CASENUMBER,DESCRIPTION,POLICEBEAT,ADDRESS,CITY,STATE,Location
,03/22/2024 11:10:00 AM,24-905761,BURGLARY-AUTO,23X,4200 INTERNATIONAL BOULEVARD,Oakland,CA,POINT (-122.215050963 37.773355994)
,05/08/2024 09:15:00 AM,24-022665,VEHICLE THEFT - AUTO,35X,2328 92ND AVE.,Oakland,CA,POINT (-122.163459008 37.75322501)
,04/21/2024 03:40:00 AM,24-908334,GRAND THEFT,22X,2118 COLOMA ST,Oakland,CA,POINT (-122.214828004 37.802116986)
,05/15/2024 10:00:00 PM,24-024093,VEHICLE THEFT - AUTO,15X,IFO 445 ATHOL AVE,Oakland,CA,POINT (-122.246037015 37.803213004)
,05/15/2024 01:00:00 PM,24-023979,SC UNEXPLAINED DEATH,01X,101 BROADWAY,Oakland,CA,POINT (-122.27700404 37.795675997)
,03/27/2024 12:45:00 PM,24-906409,USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.,10X,6421 ESSEX ST,Oakland,CA,POINT (-122.282547998 37.847751001)
,04/27/2024 07:30:00 PM,24-020848,VEHICLE THEFT - AUTO,19X,1801 EMBARCADERO,Oakland,CA,POINT (-122.244357932 37.784996792)
THREATS,05/17/2024 05:45:00 AM,24-024339,VANDALISM:DAMAGE PROPERTY,25X,3724 REDDING ST,Oakland,CA,POINT (-122.199564978 37.791429012)
,06/10/2024 10:50:00 PM,24-028396,FORCIBLE ENTRY AND DETAINER,19X,905 E 11TH ST,Oakland,CA,POINT (-122.252486973 37.791205006)
STOLEN VEHICLE,05/31/2024 05:30:00 PM,24-027269,VEHICLE THEFT - AUTO,17Y,848 E 28TH ST,Oakland,CA,POINT (-122.237759969 37.802317984)
,03/19/2024 12:47:00 PM,24-906478,ASSAULT,03X,378 11TH ST,Oakland,CA,POINT (-122.270536983 37.801777016)
,05/21/2024 06:50:00 PM,24-907903,VANDALISM,27Y,5720 HARMON AVE,Oakland,CA,POINT (-122.195880964 37.769470982)
,04/20/2024 08:40:00 PM,24-019539,ROBBERY-FIREARM,31X,98TH AVE & PIPPIN ST,Oakland,CA,POINT (-122.180235974 37.738749002)
,06/05/2024 07:00:00 PM,24-028116,VEHICLE THEFT - AUTO,16Y,3738 PARK BOULEVARD WY,Oakland,CA,POINT (-122.230844983 37.804935988)
FELONY ASSAULT,04/15/2024 12:00:00 AM,24-018384,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,13Y,7245 BUCKINGHAM BLVD,Oakland,CA,POINT (-122.220542031 37.860769982)
STOLEN VEHICLE,03/31/2024 10:00:00 PM,24-016197,VEHICLE THEFT - AUTO,30Y,7953 SUNKIST DR,Oakland,CA,POINT (-122.160549984 37.767526003)
,05/01/2024 04:45:00 PM,24-907184,BURGLARY-AUTO,19X,37 8TH AVE,Oakland,CA,POINT (-122.258475298 37.786599237)
,05/15/2024 02:30:00 PM,24-023976,VEHICLE THEFT - AUTO,31Y,9009 SAN LEANDRO ST,Oakland,CA,POINT (-122.186569004 37.74397801)
STOLEN VEHICLE,03/22/2024 08:15:00 AM,24-014548,VEHICLE THEFT - AUTO,03Y,455 7TH ST,Oakland,CA,POINT (-122.275068994 37.799400998)
,04/18/2024 10:32:00 AM,24-019109,VEHICLE THEFT - AUTO,32X,99TH AV & 99TH AV CT,Oakland,CA,POINT (-122.170906999 37.743162996)
,05/31/2024 03:00:00 AM,24-026900,VANDALISM [UNDER $400],02X,1526 5TH STREET,Oakland,CA,POINT (-122.297031005 37.804708)
,04/22/2024 02:30:00 PM,24-906480,BURGLARY-AUTO,01X,104 OAK ST,Oakland,CA,POINT (-122.268003878 37.792731367)
STOLEN VEHICLE,04/24/2024 08:20:00 PM,24-020313,VEHICLE THEFT - AUTO,04X,BROADWAY & GRAND AV,Oakland,CA,POINT (-122.26681131 37.811390598)
DOMESTIC VIOLENCE,04/20/2024 01:30:00 AM,24-019415,INFLICT CRPL INJ SP/COHAB,26Y,877 70TH AV,Oakland,CA,POINT (-122.196473983 37.756002982)
,05/03/2024 09:36:00 AM,24-018211,VEHICLE THEFT - AUTO,24X,9800 BLOCK OF A ST,Oakland,CA,POINT (-122.172500478 37.742679)
STOLEN VEHICLE,05/08/2024 03:00:00 PM,24-022873,VEHICLE THEFT - AUTO,17Y,2304 11TH AV,Oakland,CA,POINT (-122.240419127 37.797307927)
,05/14/2024 08:00:00 PM,24-907817,BURGLARY-AUTO,14X,300 GRAND AVE,Oakland,CA,POINT (-122.256804994 37.809327016)
STOLEN VEHICLE,04/09/2024 12:22:00 PM,24-017488,VEHICLE THEFT - AUTO,24Y,3315 HIGH ST,Oakland,CA,POINT (-122.197729006 37.786094014)
PETTY THEFT,04/01/2024 01:15:00 AM,24-016548,THEFT,35X,90TH AV & BANCROFT AV,Oakland,CA,POINT (-122.165601003 37.753646997)
ROBBERY,03/18/2024 10:30:00 PM,24-013554,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,25X,3838 BUELL ST,Oakland,CA,POINT (-122.185874983 37.786433984)
NARCOTICS,03/26/2024 06:02:00 AM,24-015116,RECEIVE/ETC KNOWN STOLEN PROPERTY,26Y,6901 SPENCER ST,Oakland,CA,POINT (-122.194671036 37.757598016)
,05/20/2024 08:00:00 AM,24-024832,VEHICLE THEFT - AUTO,29X,FOOTHILL BLVD & HAVENSCOURT BLVD (GOLDEN GASOLINE),Oakland,CA,POINT (-122.181827027 37.770414994)
,05/25/2024 12:00:00 PM,24-026375,TRESPASS:OCCUPY PROPERTY W/O CONSENT,07X,2847 UNION ST,Oakland,CA,POINT (-122.284367039 37.821664004)
ROBBERY,03/22/2024 09:40:00 PM,24-014538,ROBBERY-FIREARM,32X,10950 INTERNATIONAL BLVD,Oakland,CA,POINT (-122.163675009 37.736930003)
,03/21/2024 12:30:00 AM,24-906061,VANDALISM,30X,1687 70TH AVE,Oakland,CA,POINT (-122.18655903 37.762467986)
,04/09/2024 09:07:00 AM,24-017467,INFLICT CRPL INJ SP/COHAB,02Y,1400 MANDELA PARKWAY,Oakland,CA,POINT (-122.29127233 37.810685208)
,04/08/2024 02:05:00 PM,24-907062,VANDALISM,12Y,6000 CHABOT ROAD,Oakland,CA,POINT (-122.251945279 37.847091761)
MISDEMEANOR ASSAULT,04/04/2024 11:59:00 AM,24-016612,BATTERY,03Y,1200 CLAY ST,Oakland,CA,POINT (-122.27389603 37.804107018)
,04/20/2024 07:20:00 PM,24-019530,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,20X,2624 FOOTHILL BLVD,Oakland,CA,POINT (-122.22812296 37.78485299)
,04/04/2024 08:00:00 AM,24-017122,GRAND THEFT,18Y,1232 E 19TH ST,Oakland,CA,POINT (-122.242537989 37.793868984)
,04/08/2024 04:01:00 PM,24-907294,MAIL/ETC THEFT/ETC,08X,2337 HARRISON ST,Oakland,CA,POINT (-122.262226996 37.812270991)
,06/09/2024 06:15:00 AM,24-028440,BURGLARY-FORCIBLE ENTRY,03X,323 9TH ST,Oakland,CA,POINT (-122.270415026 37.799435993)
DOMESTIC VIOLENCE,06/10/2024 05:18:00 PM,24-028883,DAMAGE/DESTROY ANY WIRELESS COMMUNICATION DEVICE,26Y,1209 79TH AV,Oakland,CA,POINT (-122.18590499 37.755382009)
STOLEN VEHICLE,06/07/2024 01:00:00 AM,24-028212,VEHICLE THEFT - AUTO,24X,4124 LYON AV,Oakland,CA,POINT (-122.205760964 37.781893005)
,04/12/2024 09:00:00 PM,24-018345,VEHICLE THEFT - AUTO,25X,7 SELKIRK ST,Oakland,CA,POINT (-122.187960987 37.795596997)
,06/08/2024 07:40:00 AM,24-028406,VEHICLE THEFT - AUTO,22X,2626 MADELINE ST,Oakland,CA,POINT (-122.207556033 37.801314)
STOLEN VEHICLE,03/26/2024 02:45:00 PM,24-015254,VEHICLE THEFT - AUTO,08X,539 39TH ST,Oakland,CA,POINT (-122.265484036 37.828196985)
,04/27/2024 05:45:00 PM,24-908156,MAKE/PASS FICTITIOUS CHECK,10X,5849 SAN PABLO AVE,Oakland,CA,POINT (-122.283706964 37.841865983)
BURG - AUTO,04/27/2024 04:55:00 AM,24-907127,BURGLARY-AUTO,19X,1254 E 12TH ST,Oakland,CA,POINT (-122.247960997 37.789534995)
,04/27/2024 01:18:00 AM,24-020675,SHOOT AT UNOCCUPIED DWELLING/VEHICLE/ETC,10Y,966 40TH ST,Oakland,CA,POINT (-122.275701995 37.831179014)
,05/19/2024 12:53:00 PM,24-908220,BURGLARY-AUTO,,285 HEGENBERGER RD ROAD,Oakland,CA,POINT (-122.198848995 37.733280984)
,05/08/2024 01:30:00 PM,24-907673,BURGLARY-AUTO,,528 THOMAS L BERKLEY WAY,Oakland,CA,POINT (-122.270459031 37.809911989)
,05/04/2024 08:04:00 AM,24-021880,INDECENT EXPOSURE,30Y,7200 BANCROFT AV,Oakland,CA,POINT (-122.17608098 37.768218013)
DOMESTIC VIOLENCE,06/06/2024 11:09:00 AM,24-027992,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,09X,184 MOSS WY,Oakland,CA,POINT (-122.25508201 37.822676998)
BURG - COMMERCIAL,03/15/2024 03:20:00 AM,24-013108,BURGLARY-FORCIBLE ENTRY,33X,932 86TH AV,Oakland,CA,POINT (-122.184176977 37.74874702)
STOLEN VEHICLE,04/01/2024 05:00:00 AM,24-016348,VEHICLE THEFT - AUTO,35X,8600 MACARTHUR BLVD,Oakland,CA,POINT (-122.162520989 37.759344009)
MISDEMEANOR ASSAULT,04/08/2024 10:00:00 PM,24-017300,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,05X,1919 MARKET ST,Oakland,CA,POINT (-122.27993603 37.812584014)
PETTY THEFT,03/14/2024 08:30:00 PM,24-013315,PETTY THEFT:$50-,04X,1901 HARRISON ST,Oakland,CA,POINT (-122.265640023 37.806788011)
,03/22/2024 07:25:00 PM,24-906255,BURGLARY-AUTO,,HEGENBERGER & EDGEWATER,Oakland,CA,POINT (-122.196935994 37.736927992)
,03/26/2024 04:00:00 PM,24-906553,VANDALISM,20X,3132 INTERNATIONAL BOULEVARD,Oakland,CA,POINT (-122.225978031 37.778077017)
DOMESTIC VIOLENCE,03/26/2024 10:00:00 PM,24-015211,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,07X,3401 MANDELA PKWY,Oakland,CA,POINT (-122.290088023 37.825013999)
,05/05/2024 09:30:00 AM,24-907238,BURGLARY-AUTO,23X,3950 ALAMEDA AVE,Oakland,CA,POINT (-122.224056983 37.768684005)
RECOVERED O/S STOLEN,05/21/2024 05:35:00 AM,24-025026,VEHICLE THEFT - AUTO,08X,3065 RICHMOND BLVD,Oakland,CA,POINT (-122.259738996 37.819790983)
VANDALISM,04/03/2024 12:34:00 AM,24-906759,VANDALISM,17Y,2205 7TH AV,Oakland,CA,POINT (-122.244744022 37.799896997)
,03/27/2024 08:00:00 AM,24-018180,THREAT CRIME:INT:TERRORIZE,13X,6808 CHAMBERS DR.,Oakland,CA,POINT (-122.200441976 37.834837003)
,06/03/2024 08:00:00 AM,24-908409,BURGLARY-AUTO,22X,3426 FRUITVALE AVE,Oakland,CA,POINT (-122.216023012 37.799539006)
,04/22/2024 09:00:00 PM,24-020592,VEHICLE THEFT - AUTO,29X,5714 FOOTHILL BLVD,Oakland,CA,POINT (-122.19355084 37.77222046)
VANDALISM,04/01/2024 03:42:00 AM,24-016091,VANDALISM:DEFACE PROPERTY,35Y,4400 KELLER AV,Oakland,CA,POINT (-122.145167013 37.772490982)
,05/28/2024 08:00:00 PM,24-027633,BURGLARY-FORCIBLE ENTRY,10Y,4224 ST,Oakland,CA,POINT (-122.27248 37.804828)
FELONY ASSAULT,03/24/2024 11:29:00 PM,24-014834,BATTERY ON SCHOOL EMPLOYEE W/INJURY,30X,8021 PLYMOUTH ST,Oakland,CA,POINT (-122.176606023 37.758354986)
,05/16/2024 08:00:00 PM,24-907918,VANDALISM,04X,1800 SAN PABLO AVE,Oakland,CA,POINT (-122.27218696 37.808049991)
,05/12/2024 09:41:00 AM,24-023362,SC UNEXPLAINED DEATH,29X,2939 62ND AV,Oakland,CA,POINT (-122.185162018 37.772495005)
,04/09/2024 01:00:00 AM,24-017482,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,21X,2705 E. 21ST STREET,Oakland,CA,POINT (-122.226667023 37.785496008)
STOLEN VEHICLE,04/09/2024 09:00:00 PM,24-017732,VEHICLE THEFT - AUTO,03X,150 13TH ST,Oakland,CA,POINT (-122.264836703 37.801037951)
,05/01/2024 10:10:00 AM,24-908634,THEFT,19X,1440 12TH AVE,Oakland,CA,POINT (-122.24716304 37.790943993)
,05/23/2024 09:20:00 PM,24-908015,BURGLARY-AUTO,12Y,5560 COLLEGE AVE,Oakland,CA,POINT (-122.251462034 37.843204992)
STOLEN VEHICLE,03/26/2024 11:00:00 AM,24-009981,VEHICLE THEFT - AUTO,31X,7303 SAN LEANDRO ST,Oakland,CA,POINT (-122.196351379 37.752761679)
ROBBERY,05/05/2024 11:40:00 PM,24-022208,ROBBERY-FIREARM,21X,IFO 2386 E 21ST ST,Oakland,CA,POINT (-122.231648117 37.788745892)
,05/30/2024 09:30:00 PM,24-026871,FELON/ADDICT/POSSESS/OWN/ETC FIREARM,19X,1250 INTERNATIONAL BLVD,Oakland,CA,POINT (-122.247165973 37.790208984)
,05/05/2024 12:00:00 PM,24-022115,VEHICLE THEFT - AUTO,26X,5401 COLISEUM WAY,Oakland,CA,POINT (-122.212188962 37.760623003)
VANDALISM,04/25/2024 01:31:00 AM,24-020277,VANDALISM:DAMAGE PROPERTY,32X,10111 INTERNATIONAL BLVD,Oakland,CA,POINT (-122.16908997 37.741821011)
,04/14/2024 01:10:00 AM,24-907529,VANDALISM,04X,1629 WEBSTER ST,Oakland,CA,POINT (-122.267654282 37.805323534)
DISORDERLY CONDUCT,03/23/2024 10:33:00 PM,23-030143,DISTURB THE PEACE,11X,5740 MACCALL ST,Oakland,CA,POINT (-122.266474023 37.843222007)
,06/04/2024 07:32:00 PM,24-027711,BATTERY,35X,9437 PEACH ST,Oakland,CA,POINT (-122.162873029 37.750969021)
,05/24/2024 12:00:00 PM,24-025772,ORAL COPULATION WITH PERSON UNDER 14/ETC OR BY FORCE/ETC,25X,2044 46TH AVE,Oakland,CA,POINT (-122.208452813 37.775022878)
PETTY THEFT,03/21/2024 03:00:00 PM,24-015605,THEFT,02Y,1451 7TH ST,Oakland,CA,POINT (-122.29518892 37.805294045)
,04/30/2024 07:00:00 PM,24-021330,SHOOT AT INHABITED DWELLING/VEHICLE/ETC,13Y,4900 GRIZZLY PEAK BLVD,Oakland,CA,POINT (-122.221094525 37.866371009)
,05/13/2024 06:30:00 PM,24-023855,BURGLARY-FORCIBLE ENTRY,29X,6450 CAMDEN ST,Oakland,CA,POINT (-122.181588269 37.771239288)
,05/08/2024 02:00:00 PM,24-023071,VEHICLE THEFT - AUTO,20X,3100 INTERNATIONAL BLVD,Oakland,CA,POINT (-122.22629604 37.778090009)
BURG - RESIDENTIAL,04/26/2024 06:00:00 PM,24-020687,BURGLARY-FORCIBLE ENTRY,13X,6001 CONTRA COSTA RD,Oakland,CA,POINT (-122.23415902 37.846692995)
,04/20/2024 10:00:00 PM,24-907774,VANDALISM,12X,4700 TELEGRAPH AVE,Oakland,CA,POINT (-122.262781962 37.834277008)
,04/11/2024 01:19:00 PM,24-906618,BURGLARY-AUTO,04X,332 14TH ST,Oakland,CA,POINT (-122.268292979 37.803468987)
DOMESTIC VIOLENCE,04/16/2024 09:00:00 PM,24-019298,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,04X,100 17TH ST,Oakland,CA,POINT (-122.26119224 37.803778809)
,03/15/2024 01:00:00 AM,24-905431,BURGLARY-AUTO,,215 W. MACARTHUR BOULEVARD,Oakland,CA,POINT (-122.256661999 37.822592006)
,05/23/2024 02:00:00 PM,24-027041,ATTEMPTED BURGLARY,02X,725 MARKET ST,Oakland,CA,POINT (-122.283211007 37.803323016)
STOLEN VEHICLE,04/15/2024 11:00:00 PM,24-018839,VEHICLE THEFT - AUTO,20X,2719 FOOTHILL BLVD,Oakland,CA,POINT (-122.227395997 37.784095014)
FELONY ASSAULT,03/16/2024 05:00:00 AM,24-014676,SHOOT AT UNOCCUPIED DWELLING/VEHICLE/ETC,06X,800 APGAR ST,Oakland,CA,POINT (-122.271436276 37.828661323)
,04/21/2024 06:00:00 AM,24-020071,THEFT,19X,2200 E.12TH ST,Oakland,CA,POINT (-122.238123995 37.783816987)
,06/05/2024 11:00:00 AM,24-027823,INFLICT CRPL INJ SP/COHAB,26Y,7120 HAWLEY ST,Oakland,CA,POINT (-122.195202071 37.75557048)
,04/28/2024 11:12:00 PM,24-020949,BATTERY,04X,1807 TELEGRAPH AV,Oakland,CA,POINT (-122.27055601 37.808071993)
ROBBERY,03/29/2024 09:25:00 AM,24-015725,ROBBERY-FIREARM,21X,1940 IRVING AV,Oakland,CA,POINT (-122.22950304 37.785778981)
,05/18/2024 12:46:00 PM,24-024611,VEHICLE THEFT - AUTO,20X,3010 E 9TH ST,Oakland,CA,POINT (-122.231027325 37.774545873)
,05/24/2024 09:10:00 AM,24-025287,VEHICLE THEFT - AUTO,31Y,300 CLARA ST,Oakland,CA,POINT (-122.188416041 37.732872994)
PETTY THEFT,03/24/2024 04:30:00 PM,24-014943,THEFT,99X,1201 PINE ST,Oakland,CA,POINT (-122.300552997 37.812821012)
STOLEN VEHICLE,03/15/2024 09:00:00 PM,24-013351,VEHICLE THEFT - AUTO,31Y,8905 SAN LEANDRO ST,Oakland,CA,POINT (-122.18659183 37.744849153)
BURG - AUTO,05/01/2024 09:10:00 PM,23-038322,BURGLARY-AUTO,31X,8333 OAKPORT ST,Oakland,CA,POINT (-122.199088904 37.740220611)
STOLEN VEHICLE,04/16/2024 09:20:00 AM,24-018807,VEHICLE THEFT - AUTO,27X,4610 FOOTHILL BLVD,Oakland,CA,POINT (-122.209824008 37.774487006)
PETTY THEFT,03/18/2024 04:00:00 PM,24-014333,THEFT,21X,1900 26TH AV,Oakland,CA,POINT (-122.228583965 37.784809991)
,05/07/2024 07:00:00 AM,24-022545,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,24X,2006 38TH AVE,Oakland,CA,POINT (-122.214638992 37.780196004)
,04/22/2024 08:00:00 PM,24-019941,VEHICLE THEFT - AUTO,08X,2820 BROADWAY,Oakland,CA,POINT (-122.262947002 37.816672999)
,05/21/2024 10:39:00 PM,24-908299,THEFT,14Y,531 PRINCE ST,Oakland,CA,POINT (-122.242404969 37.813622992)
,03/15/2024 09:30:00 AM,24-905784,VANDALISM,10Y,1000 43RD ST,Oakland,CA,POINT (-122.276607995 37.83385699)
FELONY ASSAULT,04/17/2024 12:56:00 AM,24-018868,ASSAULT WITH FIREARM ON PERSON,77X,98TH AVENUE NEAR 580 FREEWAY,Oakland,CA,POINT (-122.201013617 37.7258386)
BURG - AUTO,05/24/2024 04:30:00 AM,24-025556,VANDALISM-$400+,17Y,2609 IVY DR,Oakland,CA,POINT (-122.24070998 37.801957982)
,04/13/2024 02:09:00 PM,24-018158,EXHIBIT FIREARM,26Y,6500 BLOCK OF INTERNATIONAL BLVD,Oakland,CA,POINT (-122.193588316 37.762363736)
,05/28/2024 06:46:00 AM,24-026212,SC UNEXPLAINED DEATH,26X,7515 INTERNATIONAL BLVD,Oakland,CA,POINT (-122.185389 37.758042006)
,04/05/2024 12:19:00 PM,24-016786,VEHICLE THEFT - AUTO,31Y,440 ROSSMOOR AVE,Oakland,CA,POINT (-122.187354975 37.735794004)
FELONY ASSAULT,04/03/2024 12:43:00 AM,24-016410,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,27X,2518 HIGH ST,Oakland,CA,POINT (-122.205172628 37.781411283)
,05/06/2024 11:20:00 PM,24-907239,BURGLARY-AUTO,12X,523 49TH ST,Oakland,CA,POINT (-122.263619985 37.835687011)
,05/07/2024 11:30:00 AM,24-022557,ATTEMPTED BURGLARY,35X,8662 MACARTHUR BLVD,Oakland,CA,POINT (-122.162066019 37.758245979)
NARCOTICS,05/10/2024 04:13:00 AM,24-022988,VEHICLE THEFT - AUTO,26Y,58TH AV & INTERNATIONAL BLVD,Oakland,CA,POINT (-122.20036679 37.765469881)
STOLEN VEHICLE,04/18/2024 10:30:00 PM,24-019355,VEHICLE THEFT - AUTO,02X,1100 WEST ST,Oakland,CA,POINT (-122.279648499 37.805880619)
VANDALISM,03/26/2024 03:00:00 PM,24-015468,VANDALISM,04X,601 WILLIAM ST,Oakland,CA,POINT (-122.272412014 37.809017011)
,04/25/2024 01:00:00 PM,24-020389,BATTERY,29X,4000 VAN MOURIK AVE,Oakland,CA,POINT (-122.172446 37.779629011)
,06/08/2024 02:45:00 AM,24-028287,GRAND THEFT:MONEY/LABOR/PROPERTY  OVER $400,32X,100TH AVE AND HOLLY ST,Oakland,CA,POINT (-122.167823381 37.743134917)
,05/22/2024 03:00:00 AM,24-025207,THREAT CRIME:INT:TERRORIZE,19X,1238 18TH AV,Oakland,CA,POINT (-122.242191984 37.786725004)
ROBBERY,05/24/2024 05:43:00 PM,24-025675,ROBBERY-FIREARM,14X,123 BAY PL,Oakland,CA,POINT (-122.261043974 37.811813004)
WEAPONS,05/02/2024 04:45:00 PM,24-021626,ILLEGALLY POSSESS ANY ASSUALT WEAPON,07X,1080 30TH ST,Oakland,CA,POINT (-122.280215985 37.821884992)
,05/24/2024 05:39:00 PM,24-025671,ATTEMPTED ROBBERY-STRONG-ARM,31Y,191 98TH AVE,Oakland,CA,POINT (-122.193521961 37.729987985)
STOLEN VEHICLE,05/16/2024 01:17:00 PM,24-024119,EMBEZZLE LEASED/RENTED VEHICLE,31Y,121 98TH AV,Oakland,CA,POINT (-122.197948025 37.728865984)
BURG - RESIDENTIAL,05/30/2024 11:43:00 AM,24-026774,BURGLARY-NO FORCE,26X,1323 51ST AV,Oakland,CA,POINT (-122.208739976 37.768494993)
,04/26/2024 12:40:00 PM,24-020455,VIOLATE COURT ORDER TO PREVENT DOMESTIC VIOLENCE,22Y,3342 KANSAS ST,Oakland,CA,POINT (-122.199976026 37.79562801)
NARCOTICS,03/18/2024 06:53:00 PM,24-013709,POSSESS/ETC BURGLARY TOOLS,26Y,5400 SAN LEANDRO ST,Oakland,CA,POINT (-122.209510579 37.764307699)
STOLEN VEHICLE,04/20/2024 10:00:00 AM,24-019827,VEHICLE THEFT - AUTO,02X,915 FILBERT ST,Oakland,CA,POINT (-122.28404277 37.805976709)
,05/21/2024 07:39:00 AM,24-025050,VEHICLE THEFT - AUTO,33X,1010 ELMHURST AV,Oakland,CA,POINT (-122.178165979 37.742837988)
,06/11/2024 12:14:00 PM,24-029010,SHOPLIFTING-COMMERCIAL ESTABLISHMENT WITH INTENT WHERE VALUE DOES NOT EXCEED $950,15X,301 E 18TH ST,Oakland,CA,POINT (-122.252023035 37.799495001)
,03/22/2024 06:30:00 PM,24-906286,THEFT,,238 13 JACKSON ST,Oakland,CA,POINT (-122.270835146 37.793199943)
,06/04/2024 06:00:00 PM,24-027848,VEHICLE THEFT - AUTO,34X,2072 83RD AV,Oakland,CA,POINT (-122.170020026 37.758907018)
,03/22/2024 10:05:00 PM,24-907588,BURGLARY-NO FORCE,20X,534 23RD AVE,Oakland,CA,POINT (-122.235704978 37.775145992)
,05/24/2024 12:42:00 PM,24-025618,ROBBERY-FIREARM,19X,1518 17TH AV,Oakland,CA,POINT (-122.241824019 37.788805015)
HOMICIDE,03/18/2024 07:25:00 PM,24-013732,SC UNEXPLAINED DEATH,30X,2138 HAVENSCOURT BLVD,Oakland,CA,POINT (-122.189234031 37.764276004)
,05/10/2024 04:00:00 AM,24-907764,BURGLARY-AUTO,14X,460 GRAND AVE,Oakland,CA,POINT (-122.252222021 37.809018017)
NARCOTICS,03/17/2024 11:24:00 PM,24-013411,POSSESS/PURCHASE FOR SALE NARCOTIC/CONTROLLED SUBSTANCE,04X,BROADWAY & TELEGRAPH AV,Oakland,CA,POINT (-122.270578138 37.805336182)
,06/06/2024 10:10:00 AM,24-027796,VEHICLE THEFT - AUTO,30Y,7900 HILLSIDE ST,Oakland,CA,POINT (-122.169560578 37.764107391)
,05/26/2024 12:00:00 AM,24-026103,VEHICLE THEFT - AUTO,30X,1902 81ST AVENUE,Oakland,CA,POINT (-122.174327991 37.75909218)
ROBBERY,03/14/2024 08:00:00 PM,24-013062,VANDALISM:DAMAGE PROPERTY,31X,449 HEGENBERGER RD,Oakland,CA,POINT (-122.197507975 37.736640995)
FELONY ASSAULT,04/16/2024 02:39:00 AM,24-018592,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,18Y,1851 E 24TH ST,Oakland,CA,POINT (-122.234398994 37.793761989)
,04/08/2024 03:00:00 PM,24-017245,BATTERY,21X,2136 25TH AVE,Oakland,CA,POINT (-122.227422987 37.787094981)
OTHER,04/07/2024 11:00:00 AM,24-018467,CRUELTY TO ANIMALS,05X,1000 18TH ST,Oakland,CA,POINT (-122.282119013 37.811843011)
,05/08/2024 10:10:00 AM,24-022789,VEHICLE THEFT - AUTO,21Y,2322 FRUITVALE AV,Oakland,CA,POINT (-122.221657998 37.785785979)
PETTY THEFT,04/02/2024 01:01:00 PM,24-016471,THEFT,23X,3336 SAN LEANDRO ST,Oakland,CA,POINT (-122.225216032 37.774683017)
,05/11/2024 04:22:00 AM,24-023168,SC UNEXPLAINED DEATH,04X,1515 LAKESIDE DR,Oakland,CA,POINT (-122.262571995 37.802337011)
ROBBERY,03/29/2024 09:25:00 AM,24-015725,CARJACKING WITH FIREARM,21X,1940 IRVING AV,Oakland,CA,POINT (-122.22950304 37.785778981)
MISDEMEANOR ASSAULT,04/13/2024 08:12:00 AM,24-018116,BATTERY,31Z,301 CATRON DR,Oakland,CA,POINT (-122.175220997 37.726640002)
,06/10/2024 09:41:00 AM,24-028804,THREAT CRIME:INT:TERRORIZE,06X,864 33RD ST.,Oakland,CA,POINT (-122.274600026 37.823915006)
,03/17/2024 07:30:00 PM,24-906069,GRAND THEFT,03X,1301 ALICE ST,Oakland,CA,POINT (-122.266569292 37.802347272)
ROBBERY,03/16/2024 09:19:00 PM,24-013267,ROBBERY-FIREARM,31Y,640 HEGENBERGER RD,Oakland,CA,POINT (-122.194940011 37.746223983)
,05/17/2024 01:36:00 AM,24-024337,VEHICLE THEFT - AUTO,06X,835 APGAR ST,Oakland,CA,POINT (-122.272611001 37.828539008)
,04/24/2024 03:00:00 AM,24-020207,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",23X,3725 SAN LEANDRO ST,Oakland,CA,POINT (-122.222009921 37.772873507)
,04/07/2024 12:00:00 AM,24-017050,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,33X,1036 88TH AV,Oakland,CA,POINT (-122.181140968 37.748344018)
ROBBERY,04/11/2024 01:10:00 AM,24-017754,CARJACKING WITH FIREARM,18X,2102 E 17TH ST,Oakland,CA,POINT (-122.236218034 37.787789003)
RECOVERED O/S STOLEN,04/09/2024 07:18:00 PM,24-017600,VEHICLE THEFT - AUTO,31Y,700 CLARA ST,Oakland,CA,POINT (-122.185200994 37.739377016)
DOMESTIC VIOLENCE,05/19/2024 07:17:00 PM,24-024779,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,26X,1356 53RD AV,Oakland,CA,POINT (-122.206509259 37.767628376)
PETTY THEFT,03/20/2024 02:00:00 PM,24-016143,PETTY THEFT:$50-,04X,600 19TH ST,Oakland,CA,POINT (-122.272860284 37.808785968)
,04/21/2024 10:00:00 AM,24-019608,GRAND THEFT,12X,5055 TELEGRAPH AV,Oakland,CA,POINT (-122.262635027 37.836899999)
